treatment,group,image_number,cell_label,cell_area,granule_count,granules_per_area
GLU-40min,R326H,6,44,196.9272,1,0.005078018678983909
GLU-40min,R326H,6,45,174.8952,2,0.011435419611287218
GLU-40min,R326H,6,46,262.602,4,0.015232176449531993
GLU-40min,R326H,6,47,130.1832,4,0.03072593084207486
GLU-40min,R326H,6,48,188.21159999999998,4,0.021252675180488345
GLU-40min,R326H,6,50,304.9812,3,0.009836671899776118
GLU-40min,R326H,6,51,65.3184,0,0.0
GLU-40min,R326H,6,52,84.30479999999999,0,0.0
GLU-40min,R326H,6,53,188.14679999999998,2,0.010629997427540623
GLU-40min,R326H,6,54,205.7724,1,0.004859738235059707
GLU-40min,R326H,6,56,206.35559999999995,5,0.02423001847296609
GLU-40min,R326H,6,57,210.08159999999998,1,0.004760055140478748
GLU-40min,R326H,6,58,193.4604,4,0.02067606600627312
GLU-40min,R326H,6,59,167.9616,0,0.0
GLU-40min,R326H,6,60,232.63199999999998,5,0.02149317376801128
GLU-40min,R326H,6,61,132.9696,3,0.022561547902678506
GLU-40min,R326H,6,62,193.6872,0,0.0
GLU-40min,R326H,7,6,169.35479999999998,3,0.017714289763266233
GLU-40min,R326H,7,8,166.374,3,0.018031663601283856
GLU-40min,R326H,7,9,125.71199999999999,1,0.007954690085274278
GLU-40min,R326H,7,10,312.27119999999996,3,0.009607033885929924
GLU-40min,R326H,7,11,187.6608,2,0.01065752677170725
GLU-40min,R326H,7,12,243.61559999999997,2,0.00820965488252805
GLU-40min,R326H,7,13,192.84479999999996,2,0.010371034116553832
GLU-40min,R326H,7,14,136.242,1,0.0073398805067453506
GLU-40min,R326H,7,15,95.96879999999999,0,0.0
GLU-40min,R326H,7,16,242.83799999999997,3,0.012353914955649447
GLU-40min,R326H,7,17,123.96239999999999,2,0.016133924480326294
GLU-40min,R326H,7,18,160.89839999999998,1,0.0062151022011405965
GLU-40min,R326H,7,19,117.3852,1,0.008518961504516753
GLU-40min,R326H,7,20,326.3328,4,0.012257425548397219
GLU-40min,R326H,7,21,133.68239999999997,2,0.014960832540409212
GLU-40min,R326H,7,22,143.2728,0,0.0
GLU-40min,R326H,7,23,143.30519999999999,4,0.027912455374961974
GLU-40min,R326H,7,24,191.80799999999996,2,0.010427093760427096
GLU-40min,R326H,7,25,233.9604,2,0.008548455208659243
GLU-40min,R326H,7,26,269.568,3,0.01112891737891738
GLU-40min,R326H,7,27,200.9448,2,0.009952982112500548
GLU-40min,R326H,7,28,195.40439999999998,2,0.01023518405931494
GLU-40min,R326H,7,29,360.8712,3,0.008313215352181056
GLU-40min,R326H,7,30,0.0324,0,0.0
GLU-40min,R326H,7,31,205.254,2,0.009744024476989487
GLU-40min,R326H,7,32,69.7572,0,0.0
GLU-40min,R326H,7,33,187.4664,2,0.010668578475929554
GLU-40min,R326H,7,35,200.718,1,0.00498211420998615
GLU-40min,R326H,7,36,254.72879999999998,5,0.019628718857074665
GLU-40min,R326H,7,37,220.9032,1,0.0045268696877184215
GLU-40min,R326H,7,38,150.36839999999998,0,0.0
